customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class,input_text,target_text
0,0,0.2821407795229784,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,1,2,customer: 0; order: 0; total_items: 0.2821407795229784; discount%: 14.11; weekday: 4; hour: 13; Food%: 14.07; Fresh%: 73.20333333333333; Drinks%: 4.3566666666666665; Home%: 6.2; Beauty%: 2.1766666666666667; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,3.0
11,113,0.2970331588132635,17.497999999999998,1,11,31.646000000000004,5.223999999999999,4.274,12.878,5.016,3.686,36.898,0.0,5.0,8,3,customer: 11; order: 113; total_items: 0.2970331588132635; discount%: 17.497999999999998; weekday: 1; hour: 11; Food%: 31.646000000000004; Fresh%: 5.223999999999999; Drinks%: 4.274; Home%: 12.878; Beauty%: 5.016; Health%: 3.686; Baby%: 36.898; Pets%: 0.0; labels: 8; class: 3,5.0
12,118,0.2231917781656001,1.961111111111111,7,17,26.69888888888889,3.5933333333333337,19.321111111111108,14.591111111111111,1.2633333333333334,0.1444444444444444,34.38666666666667,0.0,9.0,4,7,customer: 12; order: 118; total_items: 0.2231917781656001; discount%: 1.961111111111111; weekday: 7; hour: 17; Food%: 26.69888888888889; Fresh%: 3.5933333333333337; Drinks%: 19.321111111111108; Home%: 14.591111111111111; Beauty%: 1.2633333333333334; Health%: 0.1444444444444444; Baby%: 34.38666666666667; Pets%: 0.0; labels: 4; class: 7,9.0
13,127,0.193717277486911,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0,1,2,customer: 13; order: 127; total_items: 0.193717277486911; discount%: 0.0; weekday: 1; hour: 9; Food%: 0.0; Fresh%: 76.95; Drinks%: 0.0; Home%: 0.0; Beauty%: 8.28; Health%: 0.0; Baby%: 14.77; Pets%: 0.0; labels: 1; class: 2,1.0
14,128,0.2026925953627524,3.36,7,22,40.201428571428565,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0,8,3,customer: 14; order: 128; total_items: 0.2026925953627524; discount%: 3.36; weekday: 7; hour: 22; Food%: 40.201428571428565; Fresh%: 18.102857142857143; Drinks%: 12.04857142857143; Home%: 14.247142857142856; Beauty%: 10.541428571428572; Health%: 0.0; Baby%: 4.855714285714285; Pets%: 0.0; labels: 8; class: 3,7.0
15,135,0.1448516579406631,10.98,7,14,0.0,12.29,25.54,51.25,6.73,4.19,0.0,0.0,1.0,2,6,customer: 15; order: 135; total_items: 0.1448516579406631; discount%: 10.98; weekday: 7; hour: 14; Food%: 0.0; Fresh%: 12.29; Drinks%: 25.54; Home%: 51.25; Beauty%: 6.73; Health%: 4.19; Baby%: 0.0; Pets%: 0.0; labels: 2; class: 6,1.0
16,136,0.0820244328097731,14.0,5,13,0.0,51.12,28.3,20.58,0.0,0.0,0.0,0.0,1.0,1,2,customer: 16; order: 136; total_items: 0.0820244328097731; discount%: 14.0; weekday: 5; hour: 13; Food%: 0.0; Fresh%: 51.12; Drinks%: 28.3; Home%: 20.58; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,1.0
17,137,0.3403141361256545,18.1,1,15,11.65,37.46,12.65,0.0,0.0,0.0,38.24,0.0,1.0,1,2,customer: 17; order: 137; total_items: 0.3403141361256545; discount%: 18.1; weekday: 1; hour: 15; Food%: 11.65; Fresh%: 37.46; Drinks%: 12.65; Home%: 0.0; Beauty%: 0.0; Health%: 0.0; Baby%: 38.24; Pets%: 0.0; labels: 1; class: 2,1.0
18,138,0.1141361256544502,17.449999999999996,6,12,19.776,45.038,21.022,10.374,3.792,0.0,0.0,0.0,5.0,1,2,customer: 18; order: 138; total_items: 0.1141361256544502; discount%: 17.449999999999996; weekday: 6; hour: 12; Food%: 19.776; Fresh%: 45.038; Drinks%: 21.022; Home%: 10.374; Beauty%: 3.792; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,5.0
19,143,0.1657940663176265,16.96,1,23,11.696666666666664,40.056666666666665,35.300000000000004,11.926666666666668,0.0,0.0,1.02,0.0,3.0,1,2,customer: 19; order: 143; total_items: 0.1657940663176265; discount%: 16.96; weekday: 1; hour: 23; Food%: 11.696666666666664; Fresh%: 40.056666666666665; Drinks%: 35.300000000000004; Home%: 11.926666666666668; Beauty%: 0.0; Health%: 0.0; Baby%: 1.02; Pets%: 0.0; labels: 1; class: 2,3.0
20,146,0.3054101221640489,3.94,2,9,30.215,13.69,21.270000000000003,20.725,0.0,7.99,6.115,0.0,2.0,8,3,customer: 20; order: 146; total_items: 0.3054101221640489; discount%: 3.94; weekday: 2; hour: 9; Food%: 30.215; Fresh%: 13.69; Drinks%: 21.270000000000003; Home%: 20.725; Beauty%: 0.0; Health%: 7.99; Baby%: 6.115; Pets%: 0.0; labels: 8; class: 3,2.0
21,148,0.1029668411867364,0.7875000000000001,3,20,28.737500000000004,0.0,30.5525,34.2,5.6425,0.0,0.8675,0.0,4.0,8,3,customer: 21; order: 148; total_items: 0.1029668411867364; discount%: 0.7875000000000001; weekday: 3; hour: 20; Food%: 28.737500000000004; Fresh%: 0.0; Drinks%: 30.5525; Home%: 34.2; Beauty%: 5.6425; Health%: 0.0; Baby%: 0.8675; Pets%: 0.0; labels: 8; class: 3,4.0
22,152,0.1902268760907504,2.1025,7,16,18.39,20.7125,21.3475,17.497500000000002,16.214999999999996,3.7,2.135,0.0,4.0,8,3,customer: 22; order: 152; total_items: 0.1902268760907504; discount%: 2.1025; weekday: 7; hour: 16; Food%: 18.39; Fresh%: 20.7125; Drinks%: 21.3475; Home%: 17.497500000000002; Beauty%: 16.214999999999996; Health%: 3.7; Baby%: 2.135; Pets%: 0.0; labels: 8; class: 3,4.0
23,156,0.1657940663176265,0.0,4,23,6.98,84.96,8.06,0.0,0.0,0.0,0.0,0.0,1.0,1,2,customer: 23; order: 156; total_items: 0.1657940663176265; discount%: 0.0; weekday: 4; hour: 23; Food%: 6.98; Fresh%: 84.96; Drinks%: 8.06; Home%: 0.0; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,1.0
24,157,0.0680628272251308,7.49,1,11,67.74,0.0,0.0,32.26,0.0,0.0,0.0,0.0,1.0,8,3,customer: 24; order: 157; total_items: 0.0680628272251308; discount%: 7.49; weekday: 1; hour: 11; Food%: 67.74; Fresh%: 0.0; Drinks%: 0.0; Home%: 32.26; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,1.0
25,158,0.1989528795811518,4.8975,2,19,14.43,24.8275,21.915,23.435,10.2825,5.115,0.0,0.0,4.0,8,3,customer: 25; order: 158; total_items: 0.1989528795811518; discount%: 4.8975; weekday: 2; hour: 19; Food%: 14.43; Fresh%: 24.8275; Drinks%: 21.915; Home%: 23.435; Beauty%: 10.2825; Health%: 5.115; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,4.0
26,162,0.1448516579406631,0.0,1,18,6.88,0.0,24.65,43.58,3.7,0.0,0.0,21.19,1.0,2,6,customer: 26; order: 162; total_items: 0.1448516579406631; discount%: 0.0; weekday: 1; hour: 18; Food%: 6.88; Fresh%: 0.0; Drinks%: 24.65; Home%: 43.58; Beauty%: 3.7; Health%: 0.0; Baby%: 0.0; Pets%: 21.19; labels: 2; class: 6,1.0
27,163,0.137870855148342,2.811666666666667,1,20,30.25833333333333,22.345,41.376666666666665,5.328333333333333,0.6916666666666668,0.0,0.0,0.0,6.0,8,3,customer: 27; order: 163; total_items: 0.137870855148342; discount%: 2.811666666666667; weekday: 1; hour: 20; Food%: 30.25833333333333; Fresh%: 22.345; Drinks%: 41.376666666666665; Home%: 5.328333333333333; Beauty%: 0.6916666666666668; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,6.0
28,169,0.0296684118673647,15.345,1,21,30.05,0.0,8.735,61.215,0.0,0.0,0.0,0.0,2.0,2,6,customer: 28; order: 169; total_items: 0.0296684118673647; discount%: 15.345; weekday: 1; hour: 21; Food%: 30.05; Fresh%: 0.0; Drinks%: 8.735; Home%: 61.215; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 2; class: 6,2.0
29,171,0.2472367655613728,7.77,5,12,18.225,13.985,15.951666666666666,20.13833333333333,4.751666666666666,0.0,26.94666666666667,0.0,6.0,8,3,customer: 29; order: 171; total_items: 0.2472367655613728; discount%: 7.77; weekday: 5; hour: 12; Food%: 18.225; Fresh%: 13.985; Drinks%: 15.951666666666666; Home%: 20.13833333333333; Beauty%: 4.751666666666666; Health%: 0.0; Baby%: 26.94666666666667; Pets%: 0.0; labels: 8; class: 3,6.0
30,177,0.1518324607329843,9.91,3,19,82.54,0.0,0.0,17.46,0.0,0.0,0.0,0.0,1.0,8,3,customer: 30; order: 177; total_items: 0.1518324607329843; discount%: 9.91; weekday: 3; hour: 19; Food%: 82.54; Fresh%: 0.0; Drinks%: 0.0; Home%: 17.46; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,1.0
31,178,0.343804537521815,4.85,7,19,25.7,23.32,21.485,15.395,6.17,7.925,0.0,0.0,2.0,8,3,customer: 31; order: 178; total_items: 0.343804537521815; discount%: 4.85; weekday: 7; hour: 19; Food%: 25.7; Fresh%: 23.32; Drinks%: 21.485; Home%: 15.395; Beauty%: 6.17; Health%: 7.925; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,2.0
32,180,0.5287958115183246,2.78,1,23,23.13,17.26,40.4,6.15,4.68,5.16,3.2,0.0,1.0,8,3,customer: 32; order: 180; total_items: 0.5287958115183246; discount%: 2.78; weekday: 1; hour: 23; Food%: 23.13; Fresh%: 17.26; Drinks%: 40.4; Home%: 6.15; Beauty%: 4.68; Health%: 5.16; Baby%: 3.2; Pets%: 0.0; labels: 8; class: 3,1.0
33,181,0.1839441535776614,4.542,1,21,22.020000000000003,26.048,28.656,16.892,4.79,0.0,1.59,0.0,5.0,8,3,customer: 33; order: 181; total_items: 0.1839441535776614; discount%: 4.542; weekday: 1; hour: 21; Food%: 22.020000000000003; Fresh%: 26.048; Drinks%: 28.656; Home%: 16.892; Beauty%: 4.79; Health%: 0.0; Baby%: 1.59; Pets%: 0.0; labels: 8; class: 3,5.0
34,186,0.1588132635253054,25.95,1,12,22.27,0.0,51.86,6.15,0.0,19.72,0.0,0.0,1.0,9,5,customer: 34; order: 186; total_items: 0.1588132635253054; discount%: 25.95; weekday: 1; hour: 12; Food%: 22.27; Fresh%: 0.0; Drinks%: 51.86; Home%: 6.15; Beauty%: 0.0; Health%: 19.72; Baby%: 0.0; Pets%: 0.0; labels: 9; class: 5,1.0
35,187,0.1867364746945899,2.9325,2,20,34.12,0.0,31.1375,34.7425,0.0,0.0,0.0,0.0,4.0,8,3,customer: 35; order: 187; total_items: 0.1867364746945899; discount%: 2.9325; weekday: 2; hour: 20; Food%: 34.12; Fresh%: 0.0; Drinks%: 31.1375; Home%: 34.7425; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,4.0
36,191,0.2635253054101222,7.48,2,8,28.01,6.23,30.64,20.6,14.52,0.0,0.0,0.0,1.0,8,3,customer: 36; order: 191; total_items: 0.2635253054101222; discount%: 7.48; weekday: 2; hour: 8; Food%: 28.01; Fresh%: 6.23; Drinks%: 30.64; Home%: 20.6; Beauty%: 14.52; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,1.0
37,192,0.1262361838278068,13.663333333333334,3,8,8.296666666666667,0.0,0.0,45.28333333333333,40.943333333333335,5.476666666666667,0.0,0.0,3.0,0,0,customer: 37; order: 192; total_items: 0.1262361838278068; discount%: 13.663333333333334; weekday: 3; hour: 8; Food%: 8.296666666666667; Fresh%: 0.0; Drinks%: 0.0; Home%: 45.28333333333333; Beauty%: 40.943333333333335; Health%: 5.476666666666667; Baby%: 0.0; Pets%: 0.0; labels: 0; class: 0,3.0
38,195,0.135543920884235,0.3366666666666666,4,12,17.539999999999996,9.273333333333332,56.71666666666667,13.46,3.01,0.0,0.0,0.0,3.0,5,1,customer: 38; order: 195; total_items: 0.135543920884235; discount%: 0.3366666666666666; weekday: 4; hour: 12; Food%: 17.539999999999996; Fresh%: 9.273333333333332; Drinks%: 56.71666666666667; Home%: 13.46; Beauty%: 3.01; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 5; class: 1,3.0
40,199,0.4520069808027923,3.16,4,23,40.14,48.3,7.2,1.58,0.0,0.0,2.78,0.0,1.0,1,2,customer: 40; order: 199; total_items: 0.4520069808027923; discount%: 3.16; weekday: 4; hour: 23; Food%: 40.14; Fresh%: 48.3; Drinks%: 7.2; Home%: 1.58; Beauty%: 0.0; Health%: 0.0; Baby%: 2.78; Pets%: 0.0; labels: 1; class: 2,1.0
41,200,0.256544502617801,20.261818181818185,1,13,28.030909090909088,39.91272727272728,13.62,7.469090909090909,8.094545454545456,2.8736363636363635,0.0,0.0,11.0,4,7,customer: 41; order: 200; total_items: 0.256544502617801; discount%: 20.261818181818185; weekday: 1; hour: 13; Food%: 28.030909090909088; Fresh%: 39.91272727272728; Drinks%: 13.62; Home%: 7.469090909090909; Beauty%: 8.094545454545456; Health%: 2.8736363636363635; Baby%: 0.0; Pets%: 0.0; labels: 4; class: 7,11.0
42,211,0.2300174520069808,6.662000000000001,1,2,17.772,24.938,17.086000000000002,5.176,5.952,0.0,29.076,0.0,5.0,1,2,customer: 42; order: 211; total_items: 0.2300174520069808; discount%: 6.662000000000001; weekday: 1; hour: 2; Food%: 17.772; Fresh%: 24.938; Drinks%: 17.086000000000002; Home%: 5.176; Beauty%: 5.952; Health%: 0.0; Baby%: 29.076; Pets%: 0.0; labels: 1; class: 2,5.0
43,216,0.1495055264688772,6.666666666666667,3,15,0.0,0.0,25.176666666666662,74.14999999999999,0.6733333333333333,0.0,0.0,0.0,3.0,2,6,customer: 43; order: 216; total_items: 0.1495055264688772; discount%: 6.666666666666667; weekday: 3; hour: 15; Food%: 0.0; Fresh%: 0.0; Drinks%: 25.176666666666662; Home%: 74.14999999999999; Beauty%: 0.6733333333333333; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 2; class: 6,3.0
44,219,0.3263525305410122,0.0,7,18,60.78,0.0,7.08,0.0,0.0,0.0,32.14,0.0,1.0,8,3,customer: 44; order: 219; total_items: 0.3263525305410122; discount%: 0.0; weekday: 7; hour: 18; Food%: 60.78; Fresh%: 0.0; Drinks%: 7.08; Home%: 0.0; Beauty%: 0.0; Health%: 0.0; Baby%: 32.14; Pets%: 0.0; labels: 8; class: 3,1.0
45,220,0.1052937754508434,1.81,1,14,7.506666666666667,3.81,56.56333333333333,8.976666666666667,14.426666666666668,8.713333333333333,0.0,0.0,3.0,5,1,customer: 45; order: 220; total_items: 0.1052937754508434; discount%: 1.81; weekday: 1; hour: 14; Food%: 7.506666666666667; Fresh%: 3.81; Drinks%: 56.56333333333333; Home%: 8.976666666666667; Beauty%: 14.426666666666668; Health%: 8.713333333333333; Baby%: 0.0; Pets%: 0.0; labels: 5; class: 1,3.0
46,223,0.1518324607329843,23.84,4,19,0.0,13.08,27.6,35.93,14.91,8.48,0.0,0.0,1.0,2,6,customer: 46; order: 223; total_items: 0.1518324607329843; discount%: 23.84; weekday: 4; hour: 19; Food%: 0.0; Fresh%: 13.08; Drinks%: 27.6; Home%: 35.93; Beauty%: 14.91; Health%: 8.48; Baby%: 0.0; Pets%: 0.0; labels: 2; class: 6,1.0
47,224,0.2425828970331588,1.09,7,18,15.04,18.39,45.89,17.33,3.35,0.0,0.0,0.0,1.0,8,3,customer: 47; order: 224; total_items: 0.2425828970331588; discount%: 1.09; weekday: 7; hour: 18; Food%: 15.04; Fresh%: 18.39; Drinks%: 45.89; Home%: 17.33; Beauty%: 3.35; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,1.0
48,225,0.2555925749643027,18.805,1,1,22.782272727272726,47.90136363636364,14.397727272727272,5.881363636363637,3.627727272727273,0.0,5.411363636363636,0.0,22.0,4,7,customer: 48; order: 225; total_items: 0.2555925749643027; discount%: 18.805; weekday: 1; hour: 1; Food%: 22.782272727272726; Fresh%: 47.90136363636364; Drinks%: 14.397727272727272; Home%: 5.881363636363637; Beauty%: 3.627727272727273; Health%: 0.0; Baby%: 5.411363636363636; Pets%: 0.0; labels: 4; class: 7,22.0
49,247,0.0052356020942408,0.0,3,14,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,2,6,customer: 49; order: 247; total_items: 0.0052356020942408; discount%: 0.0; weekday: 3; hour: 14; Food%: 0.0; Fresh%: 0.0; Drinks%: 0.0; Home%: 100.0; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 2; class: 6,1.0
50,248,0.1878999418266434,10.475,7,12,20.966666666666665,16.063333333333336,54.37833333333334,5.233333333333333,2.111666666666667,1.2483333333333333,0.0,0.0,6.0,5,1,customer: 50; order: 248; total_items: 0.1878999418266434; discount%: 10.475; weekday: 7; hour: 12; Food%: 20.966666666666665; Fresh%: 16.063333333333336; Drinks%: 54.37833333333334; Home%: 5.233333333333333; Beauty%: 2.111666666666667; Health%: 1.2483333333333333; Baby%: 0.0; Pets%: 0.0; labels: 5; class: 1,6.0
51,254,0.4537521815008726,3.1825,3,9,18.8,50.27,15.965,5.815,1.11,0.0,0.0,8.0375,4.0,1,2,customer: 51; order: 254; total_items: 0.4537521815008726; discount%: 3.1825; weekday: 3; hour: 9; Food%: 18.8; Fresh%: 50.27; Drinks%: 15.965; Home%: 5.815; Beauty%: 1.11; Health%: 0.0; Baby%: 0.0; Pets%: 8.0375; labels: 1; class: 2,4.0
52,258,0.0401396160558464,30.64,7,21,0.0,0.0,0.0,56.1,43.9,0.0,0.0,0.0,1.0,0,0,customer: 52; order: 258; total_items: 0.0401396160558464; discount%: 30.64; weekday: 7; hour: 21; Food%: 0.0; Fresh%: 0.0; Drinks%: 0.0; Home%: 56.1; Beauty%: 43.9; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 0; class: 0,1.0
53,259,0.3812016953378209,16.72142857142857,6,22,42.28071428571428,44.18928571428573,6.1085714285714285,4.228571428571429,1.6949999999999998,0.2292857142857143,1.270714285714286,0.0,14.0,4,7,customer: 53; order: 259; total_items: 0.3812016953378209; discount%: 16.72142857142857; weekday: 6; hour: 22; Food%: 42.28071428571428; Fresh%: 44.18928571428573; Drinks%: 6.1085714285714285; Home%: 4.228571428571429; Beauty%: 1.6949999999999998; Health%: 0.2292857142857143; Baby%: 1.270714285714286; Pets%: 0.0; labels: 4; class: 7,14.0
54,273,0.3891797556719022,5.13,3,20,31.85,30.42,12.51,11.6,13.61,0.0,0.0,0.0,1.0,1,2,customer: 54; order: 273; total_items: 0.3891797556719022; discount%: 5.13; weekday: 3; hour: 20; Food%: 31.85; Fresh%: 30.42; Drinks%: 12.51; Home%: 11.6; Beauty%: 13.61; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,1.0
55,274,0.1536940081442699,1.3266666666666669,1,16,15.789333333333332,40.084,7.281333333333333,6.295333333333334,4.274666666666667,0.0,26.276666666666664,0.0,15.0,4,7,customer: 55; order: 274; total_items: 0.1536940081442699; discount%: 1.3266666666666669; weekday: 1; hour: 16; Food%: 15.789333333333332; Fresh%: 40.084; Drinks%: 7.281333333333333; Home%: 6.295333333333334; Beauty%: 4.274666666666667; Health%: 0.0; Baby%: 26.276666666666664; Pets%: 0.0; labels: 4; class: 7,15.0
56,289,0.2705061082024433,8.726666666666667,7,18,18.73333333333333,39.53333333333333,9.096666666666666,18.12666666666667,10.366666666666667,4.1433333333333335,0.0,0.0,3.0,1,2,customer: 56; order: 289; total_items: 0.2705061082024433; discount%: 8.726666666666667; weekday: 7; hour: 18; Food%: 18.73333333333333; Fresh%: 39.53333333333333; Drinks%: 9.096666666666666; Home%: 18.12666666666667; Beauty%: 10.366666666666667; Health%: 4.1433333333333335; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,3.0
57,292,0.2425828970331588,5.65,4,20,6.03,4.07,49.06,4.93,0.0,0.0,35.92,0.0,1.0,5,1,customer: 57; order: 292; total_items: 0.2425828970331588; discount%: 5.65; weekday: 4; hour: 20; Food%: 6.03; Fresh%: 4.07; Drinks%: 49.06; Home%: 4.93; Beauty%: 0.0; Health%: 0.0; Baby%: 35.92; Pets%: 0.0; labels: 5; class: 1,1.0
58,293,0.0890052356020942,13.75,3,14,12.55,0.0,69.47,17.99,0.0,0.0,0.0,0.0,1.0,5,1,customer: 58; order: 293; total_items: 0.0890052356020942; discount%: 13.75; weekday: 3; hour: 14; Food%: 12.55; Fresh%: 0.0; Drinks%: 69.47; Home%: 17.99; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 5; class: 1,1.0
59,294,0.2076788830715532,11.39,1,13,0.0,0.0,53.03,15.7,23.44,7.83,0.0,0.0,1.0,5,1,customer: 59; order: 294; total_items: 0.2076788830715532; discount%: 11.39; weekday: 1; hour: 13; Food%: 0.0; Fresh%: 0.0; Drinks%: 53.03; Home%: 15.7; Beauty%: 23.44; Health%: 7.83; Baby%: 0.0; Pets%: 0.0; labels: 5; class: 1,1.0
60,295,0.1664921465968586,2.493,5,14,39.48800000000001,35.142,19.95800000000001,4.823,0.212,0.377,0.0,0.0,10.0,4,7,customer: 60; order: 295; total_items: 0.1664921465968586; discount%: 2.493; weekday: 5; hour: 14; Food%: 39.48800000000001; Fresh%: 35.142; Drinks%: 19.95800000000001; Home%: 4.823; Beauty%: 0.212; Health%: 0.377; Baby%: 0.0; Pets%: 0.0; labels: 4; class: 7,10.0
61,305,0.2050610820244328,5.7387500000000005,1,10,23.36125,52.69375,19.715,1.5875,2.64125,0.0,0.0,0.0,8.0,1,2,customer: 61; order: 305; total_items: 0.2050610820244328; discount%: 5.7387500000000005; weekday: 1; hour: 10; Food%: 23.36125; Fresh%: 52.69375; Drinks%: 19.715; Home%: 1.5875; Beauty%: 2.64125; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,8.0
